gender,b-type,sign,talent,effort,state,retake,attend,club,relate,result
male,AB,Virgo,talented,general,relaxed,twice,bad,no,no,1
male,AB,Scorpio,clumsy,lazy,nervous,none,bad,yes,no,0
male,A,Cancer,talented,hard-working,relaxed,none,bad,no,yes,1
male,B,Scorpio,general,lazy,relaxed,once,bad,yes,yes,1
male,O,Gemini,clumsy,general,nervous,none,good,yes,no,1
male,O,Aries,clumsy,general,relaxed,once,good,no,yes,1
male,AB,Libra,clumsy,hard-working,nervous,twice,bad,yes,yes,1
male,B,Pisces,talented,hard-working,nervous,none,good,no,yes,1
male,O,Aries,talented,general,nervous,twice,good,yes,no,1
male,AB,Cancer,talented,general,nervous,twice,bad,yes,yes,1
male,O,Sagittarius,talented,lazy,nervous,once,bad,yes,yes,1
male,B,Leo,general,lazy,nervous,none,bad,yes,no,0
male,O,Gemini,talented,lazy,relaxed,none,good,yes,no,1
male,A,Aquarius,general,lazy,nervous,none,good,no,no,1
male,B,Capricorn,general,hard-working,nervous,twice,good,no,no,1
male,A,Aquarius,general,lazy,nervous,twice,good,no,no,1
male,A,Scorpio,talented,general,relaxed,once,good,no,no,1
male,O,Aquarius,clumsy,lazy,nervous,none,bad,no,yes,0
male,B,Scorpio,talented,hard-working,nervous,none,good,yes,yes,1
male,O,Leo,general,hard-working,relaxed,none,good,no,no,1
male,O,Capricorn,general,lazy,relaxed,twice,good,no,no,1
male,A,Pisces,talented,general,nervous,once,bad,no,no,1
male,B,Pisces,general,general,relaxed,once,good,no,yes,1
male,A,Scorpio,general,general,nervous,twice,bad,yes,yes,1
male,A,Virgo,general,lazy,nervous,twice,good,yes,yes,1
male,AB,Taurus,talented,hard-working,nervous,twice,good,no,no,1
male,AB,Pisces,clumsy,general,nervous,once,bad,no,no,0
male,O,Libra,general,general,nervous,none,bad,no,no,1
male,A,Scorpio,general,lazy,relaxed,once,good,no,no,1
male,AB,Gemini,clumsy,general,relaxed,none,good,yes,no,1
male,AB,Sagittarius,clumsy,lazy,nervous,twice,good,no,yes,0
male,B,Pisces,clumsy,lazy,relaxed,twice,good,yes,no,0
male,O,Aquarius,general,hard-working,nervous,none,good,yes,no,1
male,B,Cancer,general,general,relaxed,none,bad,yes,yes,1
male,O,Virgo,clumsy,lazy,nervous,once,good,yes,no,0
male,O,Aries,talented,general,relaxed,none,bad,no,yes,1
male,AB,Capricorn,general,lazy,nervous,once,good,no,yes,1
male,O,Cancer,general,general,relaxed,twice,good,no,no,1
male,B,Scorpio,clumsy,hard-working,relaxed,once,bad,no,no,1
male,A,Leo,clumsy,hard-working,relaxed,none,good,yes,yes,1
male,O,Virgo,general,lazy,relaxed,none,good,no,no,1
male,A,Taurus,talented,hard-working,relaxed,none,bad,yes,yes,1
male,A,Scorpio,talented,hard-working,relaxed,once,good,yes,yes,1
male,AB,Libra,talented,lazy,nervous,once,bad,yes,yes,1
male,O,Pisces,general,hard-working,relaxed,twice,good,yes,yes,1
male,A,Aries,talented,hard-working,relaxed,once,bad,yes,no,1
male,O,Aquarius,general,hard-working,relaxed,once,good,no,yes,1
male,O,Taurus,general,hard-working,relaxed,twice,bad,yes,no,1
male,AB,Taurus,talented,lazy,nervous,twice,bad,yes,yes,1
male,B,Libra,general,general,relaxed,none,good,yes,yes,1
male,AB,Aries,clumsy,hard-working,nervous,none,good,yes,yes,1
male,A,Leo,clumsy,hard-working,relaxed,twice,bad,no,no,1
male,B,Gemini,general,general,nervous,twice,bad,yes,yes,1
male,O,Scorpio,talented,hard-working,nervous,twice,bad,yes,yes,1
male,B,Leo,clumsy,general,nervous,twice,good,yes,yes,1
male,B,Libra,talented,hard-working,relaxed,twice,good,no,yes,1
male,A,Aquarius,clumsy,general,nervous,once,bad,yes,no,0
male,O,Virgo,talented,general,relaxed,once,good,yes,yes,1
male,AB,Capricorn,clumsy,lazy,relaxed,once,bad,no,no,0
male,A,Libra,clumsy,lazy,nervous,once,bad,yes,yes,0
male,A,Libra,talented,hard-working,relaxed,twice,bad,yes,yes,1
male,AB,Aries,talented,lazy,nervous,twice,bad,no,no,1
male,O,Gemini,general,general,relaxed,once,bad,yes,yes,1
male,O,Taurus,talented,general,nervous,none,good,yes,yes,1
male,A,Sagittarius,talented,lazy,nervous,twice,bad,yes,no,1
male,B,Aquarius,clumsy,general,relaxed,once,bad,yes,no,0
male,O,Virgo,clumsy,general,nervous,once,bad,no,no,0
male,B,Aquarius,talented,hard-working,relaxed,once,good,no,yes,1
male,A,Capricorn,general,general,nervous,once,good,yes,no,1
male,O,Virgo,general,general,relaxed,once,good,no,yes,1
male,AB,Taurus,talented,lazy,nervous,none,bad,no,no,1
male,O,Leo,clumsy,lazy,relaxed,twice,good,yes,yes,0
male,B,Cancer,general,hard-working,relaxed,once,good,no,yes,1
male,O,Capricorn,clumsy,hard-working,relaxed,once,bad,yes,no,1
male,O,Virgo,general,general,relaxed,none,good,no,no,1
male,O,Sagittarius,general,lazy,nervous,none,bad,no,no,0
male,B,Capricorn,clumsy,general,nervous,twice,good,yes,no,1
male,AB,Capricorn,clumsy,hard-working,relaxed,once,bad,yes,no,1
male,A,Libra,clumsy,lazy,relaxed,none,good,no,yes,0
male,O,Capricorn,talented,lazy,nervous,none,good,no,no,1
male,AB,Virgo,talented,general,relaxed,once,bad,yes,yes,1
male,AB,Aries,talented,hard-working,nervous,twice,bad,yes,yes,1
male,O,Scorpio,general,lazy,relaxed,twice,bad,no,yes,1
male,B,Libra,general,hard-working,nervous,once,bad,yes,no,1
male,B,Aquarius,talented,hard-working,nervous,once,good,yes,no,1
male,B,Taurus,clumsy,lazy,relaxed,none,good,yes,no,0
male,B,Gemini,general,hard-working,nervous,once,bad,yes,no,1
male,B,Gemini,talented,general,nervous,twice,bad,no,yes,1
male,A,Gemini,general,general,relaxed,none,good,yes,yes,1
male,O,Aquarius,general,general,nervous,once,bad,no,no,1
male,B,Scorpio,clumsy,hard-working,relaxed,none,good,yes,no,1
male,O,Aries,talented,general,nervous,once,bad,no,yes,1
male,A,Virgo,talented,lazy,nervous,none,bad,no,no,1
male,A,Libra,clumsy,general,nervous,once,bad,no,no,0
male,A,Capricorn,clumsy,general,relaxed,twice,good,no,no,1
male,A,Pisces,general,hard-working,nervous,none,bad,yes,yes,1
male,A,Gemini,clumsy,lazy,nervous,twice,good,no,yes,0
male,A,Libra,talented,hard-working,relaxed,once,bad,yes,no,1
male,O,Virgo,talented,hard-working,nervous,none,good,no,yes,1
male,AB,Virgo,clumsy,hard-working,nervous,none,bad,yes,no,1
male,O,Cancer,clumsy,general,nervous,none,bad,yes,no,0
male,B,Sagittarius,clumsy,lazy,nervous,none,bad,no,no,0
male,O,Cancer,general,lazy,nervous,once,good,no,yes,1
male,B,Virgo,clumsy,general,relaxed,once,bad,yes,yes,0
male,B,Leo,talented,lazy,relaxed,twice,good,no,no,1
male,O,Sagittarius,clumsy,hard-working,relaxed,none,bad,no,yes,1
male,AB,Scorpio,clumsy,general,nervous,once,bad,no,no,0
male,O,Scorpio,clumsy,lazy,relaxed,once,good,no,no,0
male,B,Sagittarius,clumsy,general,relaxed,twice,good,no,yes,1
male,AB,Aquarius,talented,general,relaxed,none,bad,yes,yes,1
male,O,Taurus,general,hard-working,nervous,once,bad,no,no,1
male,AB,Cancer,talented,hard-working,relaxed,twice,bad,no,yes,1
male,A,Libra,talented,lazy,nervous,once,good,no,no,1
male,AB,Aries,general,lazy,nervous,twice,good,no,no,1
male,O,Aquarius,general,general,nervous,once,bad,no,no,1
male,A,Sagittarius,clumsy,hard-working,relaxed,once,good,no,no,1
male,O,Aries,clumsy,lazy,nervous,none,good,no,no,0
male,O,Sagittarius,general,general,relaxed,once,bad,yes,no,1
male,O,Pisces,clumsy,general,nervous,once,good,yes,yes,1
male,AB,Taurus,general,hard-working,relaxed,twice,good,no,yes,1
male,B,Gemini,general,hard-working,relaxed,twice,bad,no,yes,1
male,B,Libra,general,hard-working,relaxed,twice,good,no,no,1
male,A,Taurus,talented,lazy,nervous,none,good,no,no,1
male,B,Sagittarius,general,lazy,nervous,none,good,yes,no,1
male,A,Sagittarius,clumsy,general,relaxed,twice,bad,no,yes,1
male,B,Leo,clumsy,hard-working,relaxed,none,good,yes,yes,1
male,AB,Leo,talented,general,relaxed,twice,bad,no,no,1
male,B,Aries,clumsy,lazy,nervous,twice,good,no,yes,0
male,AB,Taurus,talented,lazy,nervous,none,good,yes,yes,1
male,AB,Sagittarius,talented,lazy,relaxed,twice,good,no,no,1
male,A,Leo,clumsy,hard-working,nervous,twice,bad,yes,no,1
male,A,Scorpio,general,lazy,relaxed,once,good,yes,yes,1
male,A,Pisces,talented,hard-working,relaxed,twice,good,no,no,1
male,B,Leo,general,lazy,nervous,twice,good,yes,yes,1
male,A,Cancer,general,hard-working,relaxed,twice,good,no,yes,1
male,O,Scorpio,general,general,relaxed,once,bad,yes,yes,1
male,O,Leo,general,general,relaxed,once,good,yes,yes,1
male,O,Capricorn,clumsy,hard-working,nervous,none,good,no,no,1
male,A,Virgo,general,lazy,relaxed,none,good,yes,yes,1
male,A,Gemini,talented,hard-working,nervous,once,good,no,yes,1
male,A,Capricorn,general,hard-working,relaxed,twice,bad,yes,no,1
male,B,Gemini,talented,lazy,relaxed,once,good,yes,no,1
male,O,Capricorn,clumsy,lazy,relaxed,twice,bad,yes,yes,0
male,O,Scorpio,clumsy,hard-working,nervous,once,good,yes,yes,1
male,A,Capricorn,talented,hard-working,relaxed,once,good,no,yes,1
male,AB,Virgo,clumsy,hard-working,nervous,none,good,no,no,1
male,A,Libra,clumsy,lazy,nervous,twice,bad,no,no,0
male,AB,Leo,talented,hard-working,relaxed,once,good,yes,yes,1
male,A,Sagittarius,clumsy,general,nervous,once,good,no,yes,1
male,A,Gemini,clumsy,hard-working,relaxed,twice,good,yes,yes,1
male,O,Capricorn,clumsy,lazy,nervous,twice,good,yes,no,0
male,A,Taurus,general,lazy,relaxed,once,bad,yes,yes,1
male,B,Gemini,clumsy,hard-working,relaxed,twice,good,yes,yes,1
male,B,Gemini,talented,hard-working,nervous,once,bad,yes,no,1
male,A,Capricorn,general,hard-working,relaxed,none,good,no,no,1
male,O,Aries,general,hard-working,nervous,none,bad,no,no,1
male,B,Cancer,clumsy,lazy,relaxed,once,bad,yes,yes,0
male,A,Leo,general,lazy,relaxed,once,good,yes,no,1
male,A,Taurus,clumsy,hard-working,relaxed,none,good,no,yes,1
male,O,Virgo,talented,lazy,relaxed,none,good,yes,no,1
female,AB,Sagittarius,talented,lazy,relaxed,none,good,no,yes,1
female,O,Pisces,talented,hard-working,relaxed,none,bad,no,no,1
female,A,Scorpio,clumsy,hard-working,nervous,once,bad,yes,no,1
female,B,Scorpio,clumsy,hard-working,nervous,twice,bad,yes,no,1
female,A,Virgo,talented,lazy,relaxed,once,bad,yes,no,1
female,B,Leo,clumsy,hard-working,relaxed,once,bad,yes,yes,1
female,A,Virgo,general,general,nervous,none,bad,no,yes,1
female,B,Aquarius,clumsy,general,relaxed,none,good,yes,no,1
female,AB,Gemini,general,lazy,nervous,none,bad,no,yes,0
female,AB,Capricorn,talented,hard-working,relaxed,once,good,yes,no,1
female,B,Taurus,clumsy,hard-working,nervous,none,bad,yes,yes,1
female,A,Leo,general,lazy,relaxed,once,good,yes,yes,1
female,O,Gemini,talented,general,relaxed,once,bad,no,no,1
female,AB,Pisces,general,hard-working,relaxed,twice,good,no,yes,1
female,A,Gemini,clumsy,lazy,relaxed,twice,good,no,yes,0
female,O,Capricorn,talented,lazy,nervous,once,good,yes,no,1
female,A,Scorpio,general,lazy,relaxed,twice,good,no,yes,1
female,AB,Virgo,clumsy,hard-working,nervous,none,bad,yes,no,1
female,B,Cancer,talented,general,nervous,none,bad,yes,yes,1
female,B,Scorpio,clumsy,hard-working,relaxed,none,bad,yes,yes,1
female,AB,Cancer,talented,general,relaxed,once,bad,yes,no,1
female,AB,Pisces,clumsy,hard-working,nervous,none,good,yes,yes,1
female,O,Scorpio,talented,general,relaxed,twice,bad,no,yes,1
female,B,Aries,clumsy,general,relaxed,none,bad,no,no,0
