gender,b-type,sign,talent,effort,state,retake,attend,club,relate,result
male,A,Aries,talented,hard-working,nervous,none,good,yes,yes,1
male,A,Aries,talented,hard-working,nervous,none,good,yes,no,1
male,A,Aries,talented,hard-working,nervous,none,good,no,yes,1
male,A,Aries,talented,hard-working,nervous,none,good,no,no,1
male,A,Aries,talented,hard-working,nervous,none,bad,yes,yes,1
male,A,Aries,talented,hard-working,nervous,none,bad,yes,no,1
male,A,Aries,talented,hard-working,nervous,none,bad,no,yes,1
male,A,Aries,talented,hard-working,nervous,none,bad,no,no,1
male,A,Aries,talented,hard-working,nervous,once,good,yes,yes,1
male,A,Aries,talented,hard-working,nervous,once,good,yes,no,1
male,A,Aries,talented,hard-working,nervous,once,good,no,yes,1
male,A,Aries,talented,hard-working,nervous,once,good,no,no,1
male,A,Aries,talented,hard-working,nervous,once,bad,yes,yes,1
male,A,Aries,talented,hard-working,nervous,once,bad,yes,no,1
male,A,Aries,talented,hard-working,nervous,once,bad,no,yes,1
male,A,Aries,talented,hard-working,nervous,once,bad,no,no,1
male,A,Aries,talented,hard-working,nervous,twice,good,yes,yes,1
male,A,Aries,talented,hard-working,nervous,twice,good,yes,no,1
male,A,Aries,talented,hard-working,nervous,twice,good,no,yes,1
male,A,Aries,talented,hard-working,nervous,twice,good,no,no,1
male,A,Aries,talented,hard-working,nervous,twice,bad,yes,yes,1
male,A,Aries,talented,hard-working,nervous,twice,bad,yes,no,1
male,A,Aries,talented,hard-working,nervous,twice,bad,no,yes,1
male,A,Aries,talented,hard-working,nervous,twice,bad,no,no,1
male,A,Aries,talented,hard-working,relaxed,none,good,yes,yes,1
male,A,Aries,talented,hard-working,relaxed,none,good,yes,no,1
male,A,Aries,talented,hard-working,relaxed,none,good,no,yes,1
male,A,Aries,talented,hard-working,relaxed,none,good,no,no,1
male,A,Aries,talented,hard-working,relaxed,none,bad,yes,yes,1
male,A,Aries,talented,hard-working,relaxed,none,bad,yes,no,1
male,A,Aries,talented,hard-working,relaxed,none,bad,no,yes,1
male,A,Aries,talented,hard-working,relaxed,none,bad,no,no,1
male,A,Aries,talented,hard-working,relaxed,once,good,yes,yes,1
male,A,Aries,talented,hard-working,relaxed,once,good,yes,no,1
male,A,Aries,talented,hard-working,relaxed,once,good,no,yes,1
male,A,Aries,talented,hard-working,relaxed,once,good,no,no,1
male,A,Aries,talented,hard-working,relaxed,once,bad,yes,yes,1
male,A,Aries,talented,hard-working,relaxed,once,bad,yes,no,1
male,A,Aries,talented,hard-working,relaxed,once,bad,no,yes,1
male,A,Aries,talented,hard-working,relaxed,once,bad,no,no,1
male,A,Aries,talented,hard-working,relaxed,twice,good,yes,yes,1
male,A,Aries,talented,hard-working,relaxed,twice,good,yes,no,1
male,A,Aries,talented,hard-working,relaxed,twice,good,no,yes,1
male,A,Aries,talented,hard-working,relaxed,twice,good,no,no,1
male,A,Aries,talented,hard-working,relaxed,twice,bad,yes,yes,1
male,A,Aries,talented,hard-working,relaxed,twice,bad,yes,no,1
male,A,Aries,talented,hard-working,relaxed,twice,bad,no,yes,1
male,A,Aries,talented,hard-working,relaxed,twice,bad,no,no,1
male,A,Aries,talented,general,nervous,none,good,yes,yes,1
male,A,Aries,talented,general,nervous,none,good,yes,no,1
male,A,Aries,talented,general,nervous,none,good,no,yes,1
male,A,Aries,talented,general,nervous,none,good,no,no,1
male,A,Aries,talented,general,nervous,none,bad,yes,yes,1
male,A,Aries,talented,general,nervous,none,bad,yes,no,1
male,A,Aries,talented,general,nervous,none,bad,no,yes,1
male,A,Aries,talented,general,nervous,none,bad,no,no,1
male,A,Aries,talented,general,nervous,once,good,yes,yes,1
male,A,Aries,talented,general,nervous,once,good,yes,no,1
male,A,Aries,talented,general,nervous,once,good,no,yes,1
male,A,Aries,talented,general,nervous,once,good,no,no,1
male,A,Aries,talented,general,nervous,once,bad,yes,yes,1
male,A,Aries,talented,general,nervous,once,bad,yes,no,1
male,A,Aries,talented,general,nervous,once,bad,no,yes,1
male,A,Aries,talented,general,nervous,once,bad,no,no,1
male,A,Aries,talented,general,nervous,twice,good,yes,yes,1
male,A,Aries,talented,general,nervous,twice,good,yes,no,1
male,A,Aries,talented,general,nervous,twice,good,no,yes,1
male,A,Aries,talented,general,nervous,twice,good,no,no,1
male,A,Aries,talented,general,nervous,twice,bad,yes,yes,1
male,A,Aries,talented,general,nervous,twice,bad,yes,no,1
male,A,Aries,talented,general,nervous,twice,bad,no,yes,1
male,A,Aries,talented,general,nervous,twice,bad,no,no,1
male,A,Aries,talented,general,relaxed,none,good,yes,yes,1
male,A,Aries,talented,general,relaxed,none,good,yes,no,1
male,A,Aries,talented,general,relaxed,none,good,no,yes,1
male,A,Aries,talented,general,relaxed,none,good,no,no,1
male,A,Aries,talented,general,relaxed,none,bad,yes,yes,1
male,A,Aries,talented,general,relaxed,none,bad,yes,no,1
male,A,Aries,talented,general,relaxed,none,bad,no,yes,1
male,A,Aries,talented,general,relaxed,none,bad,no,no,1
male,A,Aries,talented,general,relaxed,once,good,yes,yes,1
male,A,Aries,talented,general,relaxed,once,good,yes,no,1
male,A,Aries,talented,general,relaxed,once,good,no,yes,1
male,A,Aries,talented,general,relaxed,once,good,no,no,1
male,A,Aries,talented,general,relaxed,once,bad,yes,yes,1
male,A,Aries,talented,general,relaxed,once,bad,yes,no,1
male,A,Aries,talented,general,relaxed,once,bad,no,yes,1
male,A,Aries,talented,general,relaxed,once,bad,no,no,1
male,A,Aries,talented,general,relaxed,twice,good,yes,yes,1
male,A,Aries,talented,general,relaxed,twice,good,yes,no,1
male,A,Aries,talented,general,relaxed,twice,good,no,yes,1
male,A,Aries,talented,general,relaxed,twice,good,no,no,1
male,A,Aries,talented,general,relaxed,twice,bad,yes,yes,1
male,A,Aries,talented,general,relaxed,twice,bad,yes,no,1
male,A,Aries,talented,general,relaxed,twice,bad,no,yes,1
male,A,Aries,talented,general,relaxed,twice,bad,no,no,1
male,A,Aries,talented,lazy,nervous,none,good,yes,yes,1
male,A,Aries,talented,lazy,nervous,none,good,yes,no,1
male,A,Aries,talented,lazy,nervous,none,good,no,yes,1
male,A,Aries,talented,lazy,nervous,none,good,no,no,1
male,A,Aries,talented,lazy,nervous,none,bad,yes,yes,1
male,A,Aries,talented,lazy,nervous,none,bad,yes,no,1
